都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額
東京都,1036,61978,2563,53131,968730
神奈川県,776,9097,1720,7661,164562
新潟県,372,4796,1172,2445,60200
富山県,163,2834,554,1003,39377
福井県,131,673,937,1577,37164
山梨県,142,2238,1860,4491,136333
長野県,500,2561,3280,4391,202234
岐阜県,176,4384,845,6663,60051
愛知県,614,15789,740,5298,109255
三重県,218,3463,1216,7578,131577
京都府,400,1562,1622,3645,137008
兵庫県,579,9651,1334,11152,237651
奈良県,105,1253,320,3629,35378
和歌山県,135,757,823,1549,44627
鳥取県,81,512,403,922,14925
島根県,66,814,335,997,14682
岡山県,176,1347,420,1372,24488
広島県,426,2032,560,917,24573
山口県,108,2158,385,1665,32141
徳島県,39,706,251,1813,18201
香川県,84,1094,373,1883,26832
愛媛県,136,2065,412,818,25974
福岡県,429,9556,777,12761,365715
佐賀県,58,956,246,2900,39729
熊本県,256,4295,581,2199,54261
大分県,198,2055,803,1347,35433
宮崎県,108,1989,215,843,24822
鹿児島県,250,1846,620,936,41802
北海道,1332,4650,646,52,100971
青森県,136,1888,305,854,27179
岩手県,265,870,366,463,22732
宮城県,356,3258,597,1164,56924
秋田県,102,1700,192,582,13060
山形県,279,1187,393,2394,33535
福島県,391,765,758,1868,45189
茨城県,175,3930,352,5421,49472
栃木県,362,2942,1518,6576,134576
群馬県,330,2252,1066,1731,78988
埼玉県,98,16050,204,10077,125366
千葉県,595,8886,2822,9702,242965
東京都,1006,57862,1994,51630,885622
神奈川県,765,8568,1535,7738,186091
新潟県,422,3962,619,1572,50649
富山県,153,1046,293,1465,29280
福井県,156,132,366,1437,26090
山梨県,141,1251,1052,3386,73273
長野県,461,1324,1852,2489,99820
岐阜県,137,1997,614,5399,50170
愛知県,510,13674,691,6723,105974
三重県,242,3276,926,6290,129755
京都府,282,1275,1841,2463,162250
奈良県,45,1302,328,2917,32369
和歌山県,117,610,578,1159,33072
鳥取県,83,415,370,929,17431
